species_code,breeding_start,breeding_end,winter_start,winter_end
magwar,2016-06-27,2016-07-30,2016-11-28,2016-03-14
chclon,2016-06-06,2016-08-22,2016-12-12,2016-02-22
rusbla,2016-05-02,2016-08-01,2016-12-19,2016-02-08
canwar,2016-05-16,2016-07-25,2016-10-31,2016-03-21
